type,modified,license,rightsHolder,datasetID,institutionCode,datasetName,eventID,eventDate,year,month,Day,samplingProtocol,samplingEffort,CountryCode,municipality,waterBody,verbatimElevation,decimalLatitude,decimalLongitude,verbatimLatitude,verbatimLongitude,geodeticDatum,footPrintWKT,footPrintSRS
Event,2021-12-19,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,142ff2c7-70b7-4bc2-8688-a1e82a8dff39,2021-07-19,2021,07,19,complete propspection of the site by the officers,exhaustive site prospection,BE,Walhain,/,,50.620186,4.69244,50.620186105267486,4.6924398466944695,WGS84,POINT (4.6924398466944695 50.620186105267486),EPSG:4326
Event,2021-07-29,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,f20c96ea-101a-4b3d-9074-99018f3967c3,2021-07-29,2021,07,29,complete propspection of the site by the officers,exhaustive site prospection,BE,Walhain,Hain,182.0822984853016,50.628916,4.701377,50.6289161,4.7013768,WGS84,POINT (4.7013768 50.6289161),EPSG:4326
Event,2021-07-19,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,4f0f3aeb-528f-4168-a616-66c51da49100,2021-07-19,2021,07,19,complete propspection of the site by the officers,exhaustive site prospection,BE,Walhain,Ry de Leri,183.90399911638002,50.626226,4.72177,50.6262264,4.7217696,WGS84,POINT (4.7217696 50.6262264),EPSG:4326
Event,2021-07-19,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,7ca6c5b3-75fa-460f-ab93-66b2b81bb8d2,2021-07-19,2021,07,19,complete propspection of the site by the officers,exhaustive site prospection,BE,Walhain,Lerinnes,195.1406298489475,50.632755,4.725025,50.6327548,4.7250245,WGS84,POINT (4.7250245 50.6327548),EPSG:4326
Event,2021-07-19,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,51cc1554-8e26-4314-aa25-27313d744a57,2021-07-19,2021,07,19,complete propspection of the site by the officers,exhaustive site prospection,BE,Walhain,Ry lerinne,180.7081565697723,50.63478,4.724967,50.6347795,4.7249669,WGS84,POINT (4.7249669 50.6347795),EPSG:4326
Event,2021-07-29,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,ac2f100a-b644-4a72-88ef-1ce2477a1d07,2021-07-29,2021,07,29,complete propspection of the site by the officers,exhaustive site prospection,BE,Walhain,Nil,187.12385745900556,50.639772,4.711494,50.6397716,4.7114935,WGS84,POINT (4.7114935 50.6397716),EPSG:4326
Event,2021-07-29,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,bb49965c-9715-4d63-a1aa-90d681427763,2021-07-29,2021,07,29,complete propspection of the site by the officers,exhaustive site prospection,BE,Walhain,Nil,,50.638618,4.710661,50.638618396005704,4.7106607630848885,WGS84,POINT (4.7106607630848885 50.638618396005704),EPSG:4326
Event,2021-07-23,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,a3206c8a-2973-4437-8792-c2fc477b0f55,2021-07-19,2021,07,19,complete propspection of the site by the officers,exhaustive site prospection,BE,Walhain,,,50.643373,4.672397,50.64337310640407,4.6723973751068115,WGS84,POINT (4.6723973751068115 50.64337310640407),EPSG:4326
Event,2021-07-29,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,55660809-e8cb-461b-801b-48106ccf97fe,2021-07-29,2021,07,29,complete propspection of the site by the officers,exhaustive site prospection,BE,Walhain,Nil,,50.642498,4.676139,50.64249776722312,4.676139056682588,WGS84,POINT (4.676139056682588 50.64249776722312),EPSG:4326
Event,2021-07-29,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,de9614a8-0e76-4b25-a34b-362249b9b8f6,2021-07-20,2021,07,20,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Ardenelle,189.97914201158744,50.576438,4.634689,50.576438,4.6346885,WGS84,POINT (4.6346885 50.576438),EPSG:4326
Event,2021-07-20,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,7934e0cd-2eb7-4c5e-899e-70fbd9a17995,2021-07-20,2021,07,20,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Ardenelle,,50.575119,4.630951,50.5751192191839,4.630950540304184,WGS84,POINT (4.630950540304184 50.5751192191839),EPSG:4326
Event,2021-07-29,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,b24ee141-0955-4c6d-b5fb-1e760dbc11aa,2021-07-20,2021,07,20,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Ardenelle,,50.575744,4.632385,50.57574371665899,4.632384851574898,WGS84,POINT (4.632384851574898 50.57574371665899),EPSG:4326
Event,2021-08-17,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,a88cd32e-6660-479a-9796-edbc175a9ede,2021-08-17,2021,08,17,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Ardenelle,,50.575814,4.634031,50.57581440592996,4.634031392633915,WGS84,POINT (4.634031392633915 50.57581440592996),EPSG:4326
Event,2021-09-10,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,96addc9b-f9e3-4503-a23e-83e727f9ad7a,2021-07-20,2021,07,20,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Ardenelle,,50.574346,4.633568,50.57434566548612,4.633567705750466,WGS84,POINT (4.633567705750466 50.57434566548612),EPSG:4326
Event,2021-07-21,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,a7fa8f5b-7664-4b05-be1d-c76825859ae2,2021-07-20,2021,07,20,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Ardennelle,,50.575068,4.633132,50.57506790483984,4.6331315115094185,WGS84,POINT (4.6331315115094185 50.57506790483984),EPSG:4326
Event,2021-07-23,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,8a7d48d7-db7e-4d88-bdb0-9d77aa12e35c,2021-07-20,2021,07,20,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Orne,188.57793704507313,50.559557,4.642279,50.5595567,4.6422792,WGS84,POINT (4.6422792 50.5595567),EPSG:4326
Event,2021-07-20,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,3a6d05d8-1c5e-4ff3-bd73-697bef26b198,2021-07-20,2021,07,20,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Orne,,50.559149,4.643014,50.55914881765549,4.64301411062479,WGS84,POINT (4.64301411062479 50.55914881765549),EPSG:4326
Event,2021-07-22,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,2bfbc776-a55e-4dfa-9f70-104e454fc4e9,2021-07-20,2021,07,20,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Orne,,50.558394,4.641288,50.55839353256016,4.641288444399834,WGS84,POINT (4.641288444399834 50.55839353256016),EPSG:4326
Event,2021-07-20,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,413382cb-15c3-4514-bde9-32cf0a142356,2021-07-20,2021,07,20,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Orne,,50.558486,4.63962,50.55848618662841,4.6396201103925705,WGS84,POINT (4.6396201103925705 50.55848618662841),EPSG:4326
Event,2021-08-20,https://creativecommons.org/licenses/by-nc/4.0/,Contrat de Rivière Senne,,CR SENNE,Contrat de Rivière Senne- RIPARIAS: detection and management of aquatic invasive alien species,cb81127d-67e0-43e0-89b9-4a2324affff9,2021-07-29,2021,07,29,complete propspection of the site by the officers,exhaustive site prospection,BE,Chastre,Ardenelle,,50.565458,4.626326,50.565458148938085,4.626326411962509,WGS84,POINT (4.626326411962509 50.565458148938085),EPSG:4326
